,Ch5_PI_r,Ch6_PI_r,Ch7_PI_r,Ch8_PI_r,Ch9_PI_r,Ch10_PI_r,Ch11_PI_r,Ch12_PI_r,Ch13_PI_r,Ch14_PI_r
704,-1.0,-0.2,-1.0,-0.2,-0.667,-0.6,0.0,-0.6,0.0,0.2
705,-1.0,-0.2,-0.6,-0.2,-0.667,-0.6,0.0,-0.6,-0.2,0.2
706,-1.0,-0.2,-0.6,-0.2,-0.667,-0.6,0.0,-0.6,-0.2,0.33299999999999996
707,-1.0,-0.2,-0.667,-0.2,-0.667,-0.6,0.0,-0.6,-0.33299999999999996,0.33299999999999996
708,-1.0,-0.2,-0.667,-0.2,-0.667,-0.667,0.0,-0.33299999999999996,-0.33299999999999996,0.33299999999999996
709,-1.0,-0.2,-0.667,-0.2,-0.667,-0.667,0.0,-0.33299999999999996,-0.6,0.6
710,-1.0,-0.2,-0.667,-0.2,-0.667,-0.6,0.0,-0.33299999999999996,-0.667,0.6
711,-1.0,-0.2,-0.667,-0.2,-0.667,-0.6,0.0,-0.33299999999999996,-0.667,0.6
712,-1.0,-0.2,-0.667,-0.2,-1.0,-0.6,0.0,-0.33299999999999996,-0.667,0.5
713,-1.0,-0.2,-0.667,-0.2,-1.0,-0.6,0.0,-0.33299999999999996,-0.667,0.5
714,-1.0,-0.2,-0.667,-0.2,-1.0,-0.6,0.0,-0.6,-0.667,0.5
715,-1.0,-0.2,-0.667,-0.2,-1.0,-0.6,0.0,-0.6,-1.0,0.5
716,-1.0,-0.2,-0.667,-0.2,-1.0,-0.6,0.0,-0.667,-1.0,0.5
717,-1.0,-0.2,-0.667,-0.2,-1.0,-0.6,0.0,-0.667,-1.0,0.5
718,-1.0,-0.2,-0.667,-0.2,-1.0,-0.6,0.0,-0.667,-1.0,0.2
719,-1.0,-0.2,-0.667,-0.2,-1.0,-0.6,0.0,-0.667,-1.0,0.2
720,-1.0,-0.2,-0.667,-0.2,-1.0,-0.6,0.0,-0.6,-1.0,0.2
721,-1.0,-0.2,-0.667,-0.2,-1.0,-0.6,0.0,-0.6,-1.0,0.2
722,-1.0,-0.5,-0.667,-0.2,-1.0,-0.667,0.0,-0.33299999999999996,-1.0,0.2
723,-1.0,-0.5,-0.667,-0.2,-1.0,-0.667,0.0,-0.33299999999999996,-1.0,0.2
724,-1.0,-0.6,-0.667,-0.2,-1.0,-0.667,0.0,-0.33299999999999996,-1.0,0.2
725,-1.0,-0.6,-0.667,-0.2,-1.0,-0.6,0.0,-0.33299999999999996,-1.0,0.2
726,-1.0,-0.6,-0.667,-0.2,-1.0,-0.667,0.0,-0.33299999999999996,-1.0,0.2
727,-1.0,-0.6,-1.0,-0.2,-1.0,-0.6,0.0,-0.33299999999999996,-1.0,0.2
728,-1.0,-0.6,-0.667,-0.2,-1.0,-0.6,0.0,-0.33299999999999996,-1.0,0.2
729,-1.0,-0.6,-0.667,-0.2,-1.0,-0.6,0.0,-0.33299999999999996,-1.0,0.2
730,-1.0,-0.6,-0.667,-0.2,-1.0,-0.667,0.0,-0.33299999999999996,-1.0,0.2
731,-1.0,-0.6,-0.667,-0.2,-1.0,-0.667,0.0,-0.33299999999999996,-1.0,0.0
732,-1.0,-0.6,-0.667,-0.2,-1.0,-0.6,0.0,-0.33299999999999996,-1.0,0.0
733,-1.0,-0.6,-0.667,-0.2,-1.0,-0.6,0.0,-0.6,-1.0,0.2
734,-1.0,-0.6,-0.667,-0.2,-1.0,-0.6,0.0,-0.667,-1.0,0.2
