,Chambers,Run,Odor,Corrected Arousal PI,Genotype,GenotypeCorrected
1,5,1,MCH,1.0,CS,CS
2,6,1,MCH,0.3612903225806451,CS,CS
3,7,1,MCH,0.684161290322581,CS,CS
4,8,1,MCH,0.2000000000000001,CS,CS
5,9,1,MCH,0.9140645161290322,CS,CS
6,10,1,MCH,0.6172903225806452,CS,CS
7,11,1,MCH,0.0,CS,CS
8,12,1,MCH,0.4643870967741936,CS,CS
9,13,1,MCH,0.8064838709677419,CS,CS
10,14,1,MCH,-0.2967419354838709,CS,CS
