Sequence duration,Step type,Attribute,Action,Comment,Frame Number,Frame timer (ms),Step completion time
00:05:27.5,Digital Output,Left OCT,OFF,,1776975,68202080,15:55:43.153
00:05:27.5,Digital Output,Right OCT,OFF,,1776976,68202118,15:55:43.155
00:05:27.5,Subroutine,LED then OCT,Iterations = 3,,1776976,68202118,15:55:43.155
00:25:27.5,Wait,1200.00 sec,Delay,,1808243,69402116,16:15:43.161
00:25:27.5,Experiment State,Set state,No Shock: MCH(R) + MCH(L),,1808243,69402116,16:15:43.161
00:25:27.5,Subroutine,MCH 15S,Iterations = 1,MCH both sides for 60 sec,1808243,69402116,16:15:43.161
00:25:27.5,Digital Output,Right MCH,ON,,1808243,69402116,16:15:43.162
00:25:27.5,Digital Output,Left MCH,ON,,1808243,69402116,16:15:43.164
00:25:42.5,Wait,15.00 sec,Delay,,1808634,69417123,16:15:58.164
00:25:42.5,Digital Output,Left MCH,OFF,,1808634,69417123,16:15:58.165
00:25:42.5,Digital Output,Right MCH,OFF,,1808634,69417123,16:15:58.167
00:25:42.6,Experiment State,Set state,Recess: Air,,1808636,69417199,16:15:58.267
00:25:42.6,Digital Output,Opto LEDs,ON,,1808636,69417199,16:15:58.268
00:26:12.6,Wait,30.00 sec,Delay,,1809418,69447212,16:16:28.248
00:26:12.6,Digital Output,Opto LEDs,OFF,,1809418,69447212,16:16:28.249
00:26:12.6,Feedback Stimulation,Shock,-2.000 < cX < 2.000,,1809418,69447212,16:16:28.249
00:26:32.6,Wait,20.00 sec,Delay,,1809939,69467208,16:16:48.251
00:26:32.6,Feedback Stimulation,Shock,Disabled,,1809939,69467208,16:16:48.251
00:28:32.6,Wait,120.00 sec,Delay,,1813065,69587181,16:18:48.250
00:28:32.6,Digital Output,Left OCT,ON,,1813065,69587181,16:18:48.251
00:28:32.6,Digital Output,Right OCT,ON,,1813065,69587181,16:18:48.253
00:28:47.6,Wait,15.00 sec,Delay,,1813456,69602187,16:19:03.253
00:28:47.6,Digital Output,Left OCT,OFF,,1813456,69602187,16:19:03.254
00:28:47.6,Digital Output,Right OCT,OFF,,1813456,69602187,16:19:03.256
00:48:47.6,Wait,1200.00 sec,Delay,,1844724,70802224,16:39:03.266
00:48:47.6,Experiment State,Set state,No Shock: MCH(R) + MCH(L),,1844724,70802224,16:39:03.266
00:48:47.6,Subroutine,MCH 15S,Iterations = 1,MCH both sides for 60 sec,1844724,70802224,16:39:03.266
00:48:47.6,Digital Output,Right MCH,ON,,1844724,70802224,16:39:03.268
00:48:47.6,Digital Output,Left MCH,ON,,1844724,70802224,16:39:03.269
00:49:02.6,Wait,15.00 sec,Delay,,1845114,70817191,16:39:18.250
00:49:02.6,Digital Output,Left MCH,OFF,,1845114,70817191,16:39:18.252
00:49:02.6,Digital Output,Right MCH,OFF,,1845114,70817191,16:39:18.253
00:49:02.7,Experiment State,Set state,Recess: Air,,1845117,70817306,16:39:18.354
00:49:02.7,Digital Output,Opto LEDs,ON,,1845117,70817306,16:39:18.355
00:49:32.7,Wait,30.00 sec,Delay,,1845899,70847319,16:39:48.357
00:49:32.7,Digital Output,Opto LEDs,OFF,,1845899,70847319,16:39:48.358
00:49:32.7,Feedback Stimulation,Shock,-2.000 < cX < 2.000,,1845899,70847319,16:39:48.358
00:49:52.7,Wait,20.00 sec,Delay,,1846420,70867315,16:40:08.360
00:49:52.7,Feedback Stimulation,Shock,Disabled,,1846420,70867315,16:40:08.360
00:51:52.7,Wait,120.00 sec,Delay,,1849546,70987288,16:42:08.361
00:51:52.7,Digital Output,Left OCT,ON,,1849547,70987326,16:42:08.363
00:51:52.7,Digital Output,Right OCT,ON,,1849547,70987326,16:42:08.364
00:52:07.7,Wait,15.00 sec,Delay,,1849937,71002294,16:42:23.364
00:52:07.7,Digital Output,Left OCT,OFF,,1849937,71002294,16:42:23.366
00:52:07.7,Digital Output,Right OCT,OFF,,1849937,71002294,16:42:23.367
01:12:07.7,Wait,1200.00 sec,Delay,,1881204,72202292,17:02:23.358
01:12:07.7,Experiment State,Set state,No Shock: MCH(R) + MCH(L),,1881204,72202292,17:02:23.358
01:12:07.7,Subroutine,MCH 15S,Iterations = 1,MCH both sides for 60 sec,1881204,72202292,17:02:23.358
01:12:07.7,Digital Output,Right MCH,ON,,1881204,72202292,17:02:23.359
01:12:07.7,Digital Output,Left MCH,ON,,1881204,72202292,17:02:23.361
01:12:22.7,Wait,15.00 sec,Delay,,1881595,72217298,17:02:38.362
01:12:22.7,Digital Output,Left MCH,OFF,,1881595,72217298,17:02:38.364
01:12:22.7,Digital Output,Right MCH,OFF,,1881595,72217298,17:02:38.365
01:12:22.8,Experiment State,Set state,Recess: Air,,1881598,72217414,17:02:38.466
01:12:22.8,Digital Output,Opto LEDs,ON,,1881598,72217414,17:02:38.467
01:12:52.8,Wait,30.00 sec,Delay,,1882379,72247388,17:03:08.448
01:12:52.8,Digital Output,Opto LEDs,OFF,,1882379,72247388,17:03:08.449
01:12:52.8,Feedback Stimulation,Shock,-2.000 < cX < 2.000,,1882379,72247388,17:03:08.449
01:13:12.8,Wait,20.00 sec,Delay,,1882900,72267383,17:03:28.450
01:13:12.8,Feedback Stimulation,Shock,Disabled,,1882900,72267383,17:03:28.450
01:15:12.8,Wait,120.00 sec,Delay,,1886027,72387395,17:05:28.450
01:15:12.8,Digital Output,Left OCT,ON,,1886027,72387395,17:05:28.451
01:15:12.8,Digital Output,Right OCT,ON,,1886027,72387395,17:05:28.453
01:15:27.8,Wait,15.00 sec,Delay,,1886418,72402401,17:05:43.452
01:15:27.8,Digital Output,Left OCT,OFF,,1886418,72402401,17:05:43.453
01:15:27.8,Digital Output,Right OCT,OFF,,1886418,72402401,17:05:43.455
01:15:27.9,Experiment State,Set state,Recess: Air,,1886421,72402516,17:05:43.555
01:15:27.9,Subroutine,comp air,Iterations = 1,900 sec comp air,1886421,72402516,17:05:43.555
01:15:27.9,Digital Output,Left comp air,ON,,1886421,72402516,17:05:43.556
01:15:27.9,Digital Output,Right comp air,ON,,1886421,72402516,17:05:43.557
01:30:27.9,Wait,900.00 sec,Delay,,1909871,73302505,17:20:43.562
01:30:27.9,Digital Output,Left comp air,OFF,,1909871,73302505,17:20:43.563
