ID,Genotype,Date,Set,Odor
1,N/A,,N/A,OCT
2,N/A,,N/A,N/A
3,N/A,,N/A,N/A
4,N/A,,N/A,N/A
5,W1118>OK107-Gal4,,1,MCH
6,W1118>OK107-Gal4,,1,MCH
7,W1118>OK107-Gal4,,1,MCH
8,W1118>OK107-Gal4,,1,MCH
9,W1118>OK107-Gal4,,1,MCH
10,OK107-Gal4>UAS-dGtACR1,,1,MCH
11,OK107-Gal4>UAS-dGtACR1,,1,MCH
12,OK107-Gal4>UAS-dGtACR1,,1,MCH
13,OK107-Gal4>UAS-dGtACR1,,1,MCH
14,OK107-Gal4>UAS-dGtACR1,,1,MCH
