Sequence duration,Step type,Attribute,Action,Comment,Frame Number,Frame timer (ms),Step completion time
17:24:14.9,Start Sequence,,,,,,
00:00:00.3,Digital Output,Opto LEDs,OFF,,335192,12867761,17:24:15.290
00:00:00.3,Plugin,Mutli-Fly Tracker,LOG Off,Check counter logging is off,335192,12867761,17:24:15.290
00:00:00.3,Plugin,Mutli-Fly Tracker,LOG Close,Check no log file open,335192,12867761,17:24:15.290
00:00:00.3,Plugin,Mutli-Fly Tracker,RESET,Reset Backgrounds,335192,12867761,17:24:15.290
00:00:00.3,Plugin,Mutli-Fly Tracker,PROC On,Start Counter processing,335192,12867761,17:24:15.290
00:00:00.3,Plugin,Mutli-Fly Tracker,LOG Open,Open new Count log file,335192,12867761,17:24:15.290
00:00:00.3,Plugin,Mutli-Fly Tracker,LOG On,Start continuous logging,335192,12867761,17:24:15.290
00:00:00.3,Subroutine,Wakeup,Iterations = 1,,335192,12867761,17:24:15.290
00:00:00.3,Digital Output,Left odour shutoff,ON,,335192,12867761,17:24:15.292
00:00:00.3,Digital Output,Right odour shutoff,ON,,335192,12867761,17:24:15.293
00:00:05.0,Wait,5.00 sec,Delay,,335313,12872405,17:24:19.954
00:00:05.0,Subroutine,Left RIght Puff,Iterations = 4,,335313,12872405,17:24:19.954
00:00:05.0,Digital Output,Left airpuff,ON,,335313,12872405,17:24:19.955
00:00:05.1,Wait,0.10 sec,Delay,,335315,12872481,17:24:20.035
00:00:05.1,Digital Output,Left airpuff,OFF,,335315,12872481,17:24:20.036
00:00:05.3,Wait,0.20 sec,Delay,,335321,12872712,17:24:20.236
00:00:05.3,Digital Output,Right airpuff,ON,,335321,12872712,17:24:20.237
00:00:05.4,Wait,0.10 sec,Delay,,335323,12872788,17:24:20.338
00:00:05.4,Digital Output,Right airpuff,OFF,,335323,12872788,17:24:20.339
00:00:05.6,Wait,0.20 sec,Delay,,335329,12873019,17:24:20.539
00:00:05.6,Digital Output,Left airpuff,ON,,335329,12873019,17:24:20.540
00:00:05.7,Wait,0.10 sec,Delay,,335331,12873095,17:24:20.640
00:00:05.7,Digital Output,Left airpuff,OFF,,335331,12873095,17:24:20.641
00:00:05.9,Wait,0.20 sec,Delay,,335336,12873287,17:24:20.841
00:00:05.9,Digital Output,Right airpuff,ON,,335336,12873287,17:24:20.842
