Sequence duration,Step type,Attribute,Action,Comment,Frame Number,Frame timer (ms),Step completion time
15:19:34.7,Start Sequence,,,,,,
00:00:00.3,Digital Output,Opto LEDs,OFF,,140289,5387562,15:19:35.083
00:00:00.3,Plugin,Mutli-Fly Tracker,LOG Off,Check counter logging is off,140289,5387562,15:19:35.083
00:00:00.3,Plugin,Mutli-Fly Tracker,LOG Close,Check no log file open,140289,5387562,15:19:35.083
00:00:00.3,Plugin,Mutli-Fly Tracker,RESET,Reset Backgrounds,140289,5387562,15:19:35.083
00:00:00.3,Plugin,Mutli-Fly Tracker,PROC On,Start Counter processing,140289,5387562,15:19:35.083
00:00:00.3,Plugin,Mutli-Fly Tracker,LOG Open,Open new Count log file,140289,5387562,15:19:35.083
00:00:00.3,Plugin,Mutli-Fly Tracker,LOG On,Start continuous logging,140289,5387562,15:19:35.083
00:00:00.3,Subroutine,Wakeup,Iterations = 1,,140289,5387562,15:19:35.083
00:00:00.3,Digital Output,Left odour shutoff,ON,,140289,5387562,15:19:35.085
00:00:00.3,Digital Output,Right odour shutoff,ON,,140289,5387562,15:19:35.086
00:00:05.0,Wait,5.00 sec,Delay,,140410,5392206,15:19:39.748
00:00:05.0,Subroutine,Left RIght Puff,Iterations = 4,,140410,5392206,15:19:39.748
00:00:05.0,Digital Output,Left airpuff,ON,,140410,5392206,15:19:39.749
00:00:05.1,Wait,0.10 sec,Delay,,140413,5392321,15:19:39.849
00:00:05.1,Digital Output,Left airpuff,OFF,,140413,5392321,15:19:39.850
00:00:05.3,Wait,0.20 sec,Delay,,140418,5392513,15:19:40.050
00:00:05.3,Digital Output,Right airpuff,ON,,140418,5392513,15:19:40.051
00:00:05.4,Wait,0.10 sec,Delay,,140421,5392628,15:19:40.151
00:00:05.4,Digital Output,Right airpuff,OFF,,140421,5392628,15:19:40.152
00:00:05.6,Wait,0.20 sec,Delay,,140425,5392781,15:19:40.332
00:00:05.6,Digital Output,Left airpuff,ON,,140425,5392781,15:19:40.333
00:00:05.7,Wait,0.10 sec,Delay,,140428,5392897,15:19:40.433
00:00:05.7,Digital Output,Left airpuff,OFF,,140428,5392897,15:19:40.434
