,Ch5_PI_r,Ch6_PI_r,Ch7_PI_r,Ch8_PI_r,Ch9_PI_r,Ch10_PI_r,Ch11_PI_r,Ch12_PI_r,Ch13_PI_r,Ch14_PI_r
5524,0.0,0.33299999999999996,,-0.6,0.0,-0.75,-0.33299999999999996,0.2,0.7140000000000001,0.5
5525,0.2,0.33299999999999996,,-0.33299999999999996,0.0,-0.75,-0.33299999999999996,0.2,0.7140000000000001,0.5
5526,0.2,0.33299999999999996,,-0.33299999999999996,-0.2,-0.75,-0.33299999999999996,0.2,0.7140000000000001,0.5
5527,0.2,0.33299999999999996,,-0.33299999999999996,-0.2,-0.75,0.0,0.2,0.7140000000000001,1.0
5528,0.33299999999999996,0.33299999999999996,,-0.6,-0.2,-0.75,0.33299999999999996,0.0,0.7140000000000001,1.0
5529,0.33299999999999996,0.2,,-0.667,-0.2,-0.75,0.33299999999999996,0.0,0.7140000000000001,1.0
5530,0.33299999999999996,0.2,,-0.667,-0.33299999999999996,-0.75,0.0,0.0,0.7140000000000001,1.0
5531,0.33299999999999996,0.2,,-0.6,-0.33299999999999996,-0.75,0.0,0.0,0.7140000000000001,1.0
5532,0.33299999999999996,0.0,-0.75,-0.33299999999999996,-0.2,-0.75,-0.33299999999999996,0.0,0.7140000000000001,1.0
5533,0.33299999999999996,-0.2,,-0.33299999999999996,0.0,-0.75,-0.33299999999999996,0.0,0.7140000000000001,1.0
5534,0.33299999999999996,-0.33299999999999996,,-0.33299999999999996,0.0,-0.75,-0.33299999999999996,0.0,0.7140000000000001,1.0
5535,0.33299999999999996,-0.33299999999999996,-0.75,-0.33299999999999996,0.0,-0.75,-0.33299999999999996,-0.2,0.7140000000000001,1.0
5536,0.33299999999999996,-0.33299999999999996,,-0.33299999999999996,-0.2,-0.75,0.5,-0.2,0.7140000000000001,1.0
5537,0.33299999999999996,-0.33299999999999996,-0.75,-0.33299999999999996,-0.6,-0.75,0.5,-0.2,0.7140000000000001,1.0
5538,0.33299999999999996,-0.33299999999999996,-0.75,-0.6,-0.6,-0.7140000000000001,0.5,-0.2,0.7140000000000001,1.0
5539,0.2,-0.33299999999999996,,-0.6,-0.6,-0.7140000000000001,0.5,-0.2,0.7140000000000001,1.0
5540,0.33299999999999996,-0.2,-0.75,-0.6,-0.33299999999999996,-0.33299999999999996,1.0,-0.2,0.7140000000000001,1.0
5541,0.33299999999999996,-0.33299999999999996,,-0.6,-0.33299999999999996,-0.667,0.5,-0.2,0.7140000000000001,1.0
5542,0.33299999999999996,-0.33299999999999996,,-0.6,-0.33299999999999996,-0.14300000000000002,0.5,-0.2,0.7140000000000001,0.5
5543,0.33299999999999996,-0.33299999999999996,,-0.667,-0.33299999999999996,-0.429,1.0,-0.2,0.7140000000000001,0.5
5544,0.33299999999999996,-0.33299999999999996,,-0.667,-0.2,-0.429,1.0,-0.2,0.7140000000000001,0.5
5545,0.33299999999999996,-0.33299999999999996,,-0.667,-0.2,-0.429,1.0,-0.2,0.7140000000000001,0.5
5546,0.33299999999999996,-0.14300000000000002,,-0.6,0.0,-0.429,1.0,-0.2,0.7140000000000001,0.5
5547,0.33299999999999996,-0.14300000000000002,-0.75,-0.5,0.0,-0.25,0.5,-0.2,0.7140000000000001,0.5
5548,0.33299999999999996,-0.14300000000000002,,-0.6,0.0,-0.25,0.5,-0.2,0.7140000000000001,1.0
5549,0.33299999999999996,-0.14300000000000002,,-0.6,0.2,-0.429,0.5,-0.2,0.7140000000000001,1.0
5550,0.33299999999999996,-0.14300000000000002,-0.75,-0.6,0.2,-0.7140000000000001,0.33299999999999996,-0.2,0.7140000000000001,1.0
5551,0.33299999999999996,-0.14300000000000002,-0.75,-0.6,0.2,-0.75,0.33299999999999996,-0.2,0.7140000000000001,1.0
5552,0.33299999999999996,-0.14300000000000002,,-0.6,0.2,-0.75,0.33299999999999996,-0.2,0.7140000000000001,1.0
5553,0.33299999999999996,-0.14300000000000002,,-0.6,0.2,,1.0,-0.2,0.7140000000000001,1.0
5554,0.33299999999999996,-0.14300000000000002,,-0.667,0.2,-0.75,1.0,-0.2,0.7140000000000001,1.0
