,Ch5_PI_r,Ch6_PI_r,Ch7_PI_r,Ch8_PI_r,Ch9_PI_r,Ch10_PI_r,Ch11_PI_r,Ch12_PI_r,Ch13_PI_r,Ch14_PI_r
5524,0.0,0.0,-0.6,-1.0,-1.0,0.0,-0.5,-0.5,-0.6,-1.0
5525,0.0,0.0,-0.6,-1.0,-1.0,0.5,-0.5,-0.5,-1.0,-1.0
5526,0.0,0.0,-0.6,-1.0,-1.0,0.6,-0.5,-0.5,-1.0,-1.0
5527,0.0,0.0,-0.6,-1.0,-1.0,0.6,-0.5,-0.5,-1.0,-1.0
5528,0.0,0.0,-0.6,-1.0,-1.0,0.5,-0.5,-0.5,-1.0,-1.0
5529,0.0,0.0,-0.6,-1.0,-1.0,0.5,-0.5,-0.5,-1.0,-1.0
5530,0.0,0.0,-0.6,-1.0,-1.0,0.5,-0.5,-0.5,-1.0,-1.0
5531,0.0,0.0,-0.6,-1.0,-1.0,0.2,-0.5,-0.5,-1.0,-1.0
5532,0.0,0.0,-0.6,-1.0,-1.0,0.2,-0.5,-0.5,-1.0,-1.0
5533,0.0,0.0,-0.6,-1.0,-1.0,0.2,-0.5,-0.5,-1.0,-1.0
5534,0.0,0.0,-0.6,-1.0,-1.0,0.2,-0.5,-0.5,-1.0,-1.0
5535,0.0,0.0,-0.6,-1.0,-1.0,0.2,-0.5,-0.5,-1.0,-1.0
5536,0.0,-0.2,-0.6,-1.0,-1.0,0.2,-0.5,-0.5,-1.0,-1.0
5537,0.0,-0.2,-0.6,-1.0,-1.0,0.6,-0.5,-0.5,-0.6,-1.0
5538,0.0,-0.33299999999999996,-0.6,-1.0,-1.0,0.6,-0.5,-0.5,-1.0,-1.0
5539,0.0,-0.33299999999999996,-0.6,-1.0,-1.0,0.6,-0.33299999999999996,-0.5,-1.0,-1.0
5540,0.0,-0.33299999999999996,-0.6,-1.0,-1.0,0.6,0.0,-0.5,-1.0,-1.0
5541,0.0,-0.33299999999999996,-0.6,-1.0,-1.0,0.6,0.0,-0.5,-1.0,-1.0
5542,0.0,-0.33299999999999996,-0.6,-1.0,-1.0,0.6,0.0,-0.5,-1.0,-1.0
5543,0.0,-0.33299999999999996,-0.6,-1.0,-1.0,0.6,0.0,-0.5,-1.0,-1.0
5544,0.0,-0.33299999999999996,-0.6,-1.0,-1.0,0.6,-0.33299999999999996,-0.5,-1.0,-1.0
5545,0.0,-0.33299999999999996,-0.6,-1.0,-1.0,0.6,-0.33299999999999996,-0.5,-1.0,-1.0
5546,0.0,-0.33299999999999996,-0.6,-1.0,-1.0,0.6,-0.33299999999999996,-0.5,-1.0,-1.0
5547,0.0,-0.33299999999999996,-0.6,-1.0,-1.0,0.6,-0.33299999999999996,-0.5,-1.0,-1.0
5548,0.0,-0.33299999999999996,-0.6,-0.7140000000000001,-1.0,0.6,-0.33299999999999996,-0.5,-1.0,-1.0
5549,0.0,-0.2,-0.6,-0.7140000000000001,-1.0,0.5,-1.0,-0.5,-1.0,-1.0
5550,0.0,-0.2,-0.6,-1.0,-1.0,0.5,-0.5,-0.5,-1.0,-1.0
5551,0.0,-0.2,-0.6,-1.0,-1.0,0.5,-0.5,-0.5,-1.0,-1.0
5552,0.0,0.0,-0.6,-1.0,-1.0,0.5,-0.5,-0.5,-1.0,-1.0
5553,0.0,0.0,-0.6,-1.0,-1.0,0.5,-0.5,-0.5,-1.0,-1.0
5554,0.0,0.0,-0.6,-1.0,-1.0,0.5,-1.0,-0.5,-1.0,-1.0
