Sequence duration,Step type,Attribute,Action,Comment,Frame Number,Frame timer (ms),Step completion time
00:04:07.5,Subroutine,comp air,Iterations = 1,Compensatory air for 60 sec,86237,3327230,13:51:33.112
00:04:07.5,Digital Output,Left comp air,ON,,86237,3327230,13:51:33.113
00:04:07.5,Digital Output,Right comp air,ON,,86237,3327230,13:51:33.114
00:05:07.5,Wait,60.00 sec,Delay,,87800,3387216,13:52:33.117
00:05:07.5,Digital Output,Left comp air,OFF,,87800,3387216,13:52:33.118
00:05:07.5,Digital Output,Right comp air,OFF,,87800,3387216,13:52:33.120
00:05:07.5,Experiment State,Set state,No Shock: OCT(R) + OCT(L),,87800,3387216,13:52:33.120
00:05:07.5,Subroutine,Pav training OCT sec part,Iterations = 1,OCT both sides for 60 sec,87800,3387216,13:52:33.120
00:05:07.5,Digital Output,Right OCT,ON,,87800,3387216,13:52:33.121
00:05:07.5,Digital Output,Left OCT,ON,,87800,3387216,13:52:33.123
00:06:07.5,Wait,60.00 sec,Delay,,89363,3447203,13:53:33.122
00:06:07.5,Digital Output,Left OCT,OFF,,89364,3447241,13:53:33.123
00:06:07.5,Digital Output,Right OCT,OFF,,89364,3447241,13:53:33.125
00:06:07.6,Experiment State,Set state,Recess: Air,,89366,3447318,13:53:33.225
00:06:07.6,Subroutine,comp air,Iterations = 1,120 sec comp air,89366,3447318,13:53:33.225
00:06:07.6,Digital Output,Left comp air,ON,,89366,3447318,13:53:33.226
00:06:07.6,Digital Output,Right comp air,ON,,89366,3447318,13:53:33.228
00:08:07.6,Wait,120.00 sec,Delay,,92493,3567329,13:55:33.228
00:08:07.6,Digital Output,Left comp air,OFF,,92493,3567329,13:55:33.229
00:08:07.6,Digital Output,Right comp air,OFF,,92493,3567329,13:55:33.231
00:08:07.6,Digital Output,Right MCH,ON,Start Static test,92493,3567329,13:55:33.232
00:08:07.6,Digital Output,Left OCT,ON,,92493,3567329,13:55:33.233
00:10:07.6,Wait,120.00 sec,Delay,,95619,3687301,13:57:33.215
00:10:07.6,Subroutine,Airpuff agitation,Iterations = 1,,95619,3687301,13:57:33.215
00:10:07.6,Digital Output,Left odour shutoff,ON,,95619,3687301,13:57:33.217
00:10:07.6,Digital Output,Right odour shutoff,ON,,95619,3687301,13:57:33.218
00:10:12.6,Wait,5.00 sec,Delay,,95750,3692330,13:57:38.218
00:10:12.6,Subroutine,Left RIght Puff,Iterations = 4,,95750,3692330,13:57:38.218
00:10:12.6,Digital Output,Left airpuff,ON,,95750,3692330,13:57:38.219
00:10:12.7,Wait,0.10 sec,Delay,,95752,3692406,13:57:38.320
